image_path,annotation_path,clip_prefix,split,is_augmented,aug_type,temperature_C,pH,DO_mgL,turbidity_NTU,lighting_mode,resolution_px,tank_id,has_annotation,num_instances,image_width,image_height
Frames\Original\GX010206\images\GX010206_00010.jpg,Frames\Original\GX010206\annotations\GX010206_00010.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00011.jpg,Frames\Original\GX010206\annotations\GX010206_00011.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00012.jpg,Frames\Original\GX010206\annotations\GX010206_00012.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00013.jpg,Frames\Original\GX010206\annotations\GX010206_00013.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00014.jpg,Frames\Original\GX010206\annotations\GX010206_00014.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00015.jpg,Frames\Original\GX010206\annotations\GX010206_00015.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00016.jpg,Frames\Original\GX010206\annotations\GX010206_00016.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00017.jpg,Frames\Original\GX010206\annotations\GX010206_00017.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00018.jpg,Frames\Original\GX010206\annotations\GX010206_00018.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00019.jpg,Frames\Original\GX010206\annotations\GX010206_00019.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00020.jpg,Frames\Original\GX010206\annotations\GX010206_00020.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00021.jpg,Frames\Original\GX010206\annotations\GX010206_00021.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00022.jpg,Frames\Original\GX010206\annotations\GX010206_00022.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00023.jpg,Frames\Original\GX010206\annotations\GX010206_00023.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00024.jpg,Frames\Original\GX010206\annotations\GX010206_00024.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00025.jpg,Frames\Original\GX010206\annotations\GX010206_00025.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00026.jpg,Frames\Original\GX010206\annotations\GX010206_00026.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00027.jpg,Frames\Original\GX010206\annotations\GX010206_00027.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00028.jpg,Frames\Original\GX010206\annotations\GX010206_00028.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00029.jpg,Frames\Original\GX010206\annotations\GX010206_00029.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00030.jpg,Frames\Original\GX010206\annotations\GX010206_00030.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00031.jpg,Frames\Original\GX010206\annotations\GX010206_00031.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00032.jpg,Frames\Original\GX010206\annotations\GX010206_00032.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00033.jpg,Frames\Original\GX010206\annotations\GX010206_00033.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00034.jpg,Frames\Original\GX010206\annotations\GX010206_00034.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00035.jpg,Frames\Original\GX010206\annotations\GX010206_00035.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00036.jpg,Frames\Original\GX010206\annotations\GX010206_00036.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00037.jpg,Frames\Original\GX010206\annotations\GX010206_00037.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00038.jpg,Frames\Original\GX010206\annotations\GX010206_00038.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00039.jpg,Frames\Original\GX010206\annotations\GX010206_00039.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00040.jpg,Frames\Original\GX010206\annotations\GX010206_00040.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00041.jpg,Frames\Original\GX010206\annotations\GX010206_00041.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00042.jpg,Frames\Original\GX010206\annotations\GX010206_00042.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00043.jpg,Frames\Original\GX010206\annotations\GX010206_00043.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00044.jpg,Frames\Original\GX010206\annotations\GX010206_00044.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00045.jpg,Frames\Original\GX010206\annotations\GX010206_00045.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00046.jpg,Frames\Original\GX010206\annotations\GX010206_00046.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00047.jpg,Frames\Original\GX010206\annotations\GX010206_00047.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00048.jpg,Frames\Original\GX010206\annotations\GX010206_00048.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00049.jpg,Frames\Original\GX010206\annotations\GX010206_00049.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00050.jpg,Frames\Original\GX010206\annotations\GX010206_00050.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00051.jpg,Frames\Original\GX010206\annotations\GX010206_00051.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00052.jpg,Frames\Original\GX010206\annotations\GX010206_00052.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00053.jpg,Frames\Original\GX010206\annotations\GX010206_00053.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00054.jpg,Frames\Original\GX010206\annotations\GX010206_00054.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00055.jpg,Frames\Original\GX010206\annotations\GX010206_00055.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00056.jpg,Frames\Original\GX010206\annotations\GX010206_00056.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00057.jpg,Frames\Original\GX010206\annotations\GX010206_00057.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00058.jpg,Frames\Original\GX010206\annotations\GX010206_00058.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00059.jpg,Frames\Original\GX010206\annotations\GX010206_00059.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00060.jpg,Frames\Original\GX010206\annotations\GX010206_00060.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00061.jpg,Frames\Original\GX010206\annotations\GX010206_00061.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00062.jpg,Frames\Original\GX010206\annotations\GX010206_00062.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00063.jpg,Frames\Original\GX010206\annotations\GX010206_00063.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00064.jpg,Frames\Original\GX010206\annotations\GX010206_00064.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00065.jpg,Frames\Original\GX010206\annotations\GX010206_00065.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00066.jpg,Frames\Original\GX010206\annotations\GX010206_00066.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00067.jpg,Frames\Original\GX010206\annotations\GX010206_00067.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00068.jpg,Frames\Original\GX010206\annotations\GX010206_00068.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00069.jpg,Frames\Original\GX010206\annotations\GX010206_00069.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,10,550,481
Frames\Original\GX010206\images\GX010206_00070.jpg,Frames\Original\GX010206\annotations\GX010206_00070.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00071.jpg,Frames\Original\GX010206\annotations\GX010206_00071.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00072.jpg,Frames\Original\GX010206\annotations\GX010206_00072.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00073.jpg,Frames\Original\GX010206\annotations\GX010206_00073.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00074.jpg,Frames\Original\GX010206\annotations\GX010206_00074.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00075.jpg,Frames\Original\GX010206\annotations\GX010206_00075.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00076.jpg,Frames\Original\GX010206\annotations\GX010206_00076.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00077.jpg,Frames\Original\GX010206\annotations\GX010206_00077.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00078.jpg,Frames\Original\GX010206\annotations\GX010206_00078.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00079.jpg,Frames\Original\GX010206\annotations\GX010206_00079.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00080.jpg,Frames\Original\GX010206\annotations\GX010206_00080.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00081.jpg,Frames\Original\GX010206\annotations\GX010206_00081.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00082.jpg,Frames\Original\GX010206\annotations\GX010206_00082.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00083.jpg,Frames\Original\GX010206\annotations\GX010206_00083.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00084.jpg,Frames\Original\GX010206\annotations\GX010206_00084.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00085.jpg,Frames\Original\GX010206\annotations\GX010206_00085.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00086.jpg,Frames\Original\GX010206\annotations\GX010206_00086.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00087.jpg,Frames\Original\GX010206\annotations\GX010206_00087.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00088.jpg,Frames\Original\GX010206\annotations\GX010206_00088.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00089.jpg,Frames\Original\GX010206\annotations\GX010206_00089.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00090.jpg,Frames\Original\GX010206\annotations\GX010206_00090.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00091.jpg,Frames\Original\GX010206\annotations\GX010206_00091.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00092.jpg,Frames\Original\GX010206\annotations\GX010206_00092.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00093.jpg,Frames\Original\GX010206\annotations\GX010206_00093.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00094.jpg,Frames\Original\GX010206\annotations\GX010206_00094.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00095.jpg,Frames\Original\GX010206\annotations\GX010206_00095.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00096.jpg,Frames\Original\GX010206\annotations\GX010206_00096.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00097.jpg,Frames\Original\GX010206\annotations\GX010206_00097.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00098.jpg,Frames\Original\GX010206\annotations\GX010206_00098.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00099.jpg,Frames\Original\GX010206\annotations\GX010206_00099.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00100.jpg,Frames\Original\GX010206\annotations\GX010206_00100.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,9,550,481
Frames\Original\GX010206\images\GX010206_00101.jpg,Frames\Original\GX010206\annotations\GX010206_00101.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00102.jpg,Frames\Original\GX010206\annotations\GX010206_00102.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00103.jpg,Frames\Original\GX010206\annotations\GX010206_00103.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00104.jpg,Frames\Original\GX010206\annotations\GX010206_00104.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00105.jpg,Frames\Original\GX010206\annotations\GX010206_00105.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00106.jpg,Frames\Original\GX010206\annotations\GX010206_00106.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00107.jpg,Frames\Original\GX010206\annotations\GX010206_00107.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00108.jpg,Frames\Original\GX010206\annotations\GX010206_00108.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00109.jpg,Frames\Original\GX010206\annotations\GX010206_00109.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00110.jpg,Frames\Original\GX010206\annotations\GX010206_00110.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00111.jpg,Frames\Original\GX010206\annotations\GX010206_00111.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00112.jpg,Frames\Original\GX010206\annotations\GX010206_00112.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00113.jpg,Frames\Original\GX010206\annotations\GX010206_00113.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00114.jpg,Frames\Original\GX010206\annotations\GX010206_00114.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00115.jpg,Frames\Original\GX010206\annotations\GX010206_00115.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00116.jpg,Frames\Original\GX010206\annotations\GX010206_00116.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00117.jpg,Frames\Original\GX010206\annotations\GX010206_00117.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00118.jpg,Frames\Original\GX010206\annotations\GX010206_00118.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00119.jpg,Frames\Original\GX010206\annotations\GX010206_00119.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00120.jpg,Frames\Original\GX010206\annotations\GX010206_00120.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00121.jpg,Frames\Original\GX010206\annotations\GX010206_00121.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00122.jpg,Frames\Original\GX010206\annotations\GX010206_00122.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00123.jpg,Frames\Original\GX010206\annotations\GX010206_00123.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00124.jpg,Frames\Original\GX010206\annotations\GX010206_00124.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00125.jpg,Frames\Original\GX010206\annotations\GX010206_00125.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00126.jpg,Frames\Original\GX010206\annotations\GX010206_00126.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00127.jpg,Frames\Original\GX010206\annotations\GX010206_00127.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00128.jpg,Frames\Original\GX010206\annotations\GX010206_00128.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00129.jpg,Frames\Original\GX010206\annotations\GX010206_00129.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00130.jpg,Frames\Original\GX010206\annotations\GX010206_00130.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00131.jpg,Frames\Original\GX010206\annotations\GX010206_00131.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00132.jpg,Frames\Original\GX010206\annotations\GX010206_00132.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00133.jpg,Frames\Original\GX010206\annotations\GX010206_00133.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00134.jpg,Frames\Original\GX010206\annotations\GX010206_00134.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00135.jpg,Frames\Original\GX010206\annotations\GX010206_00135.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,7,550,481
Frames\Original\GX010206\images\GX010206_00136.jpg,Frames\Original\GX010206\annotations\GX010206_00136.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
Frames\Original\GX010206\images\GX010206_00137.jpg,Frames\Original\GX010206\annotations\GX010206_00137.json,GX010206,VAL,False,,28.3,7.43,5.6,7.05,FL,5312x4648,R6,True,8,550,481
